"FILE","BUSTED.LR","BUSTED.SRV.LR","BUSTED.omega3.MLE","BUSTED.SRV.omega3.MLE","BUSTED.omega3.prop","BUSTED.SRV.omega3.prop","CV.SRV","BUSTED.P","BUSTED.SRV.P","BUSTED.AICc","BUSTED.SRV.AICc","BUSTED.treelength","BUSTED.SRV.treelength","Sites","Sequences","BUSTED.omega1.MLE","BUSTED.SRV.omega1.MLE","BUSTED.omega1.prop","BUSTED.SRV.omega1.prop","BUSTED.omega2.MLE","BUSTED.SRV.omega2.MLE","BUSTED.omega2.prop","BUSTED.SRV.omega2.prop","SRV.alpha3.MLE","SRV.alpha3.prop","SRV.alpha1.MLE","SRV.alpha1.prop","SRV.alpha2.MLE","SRV.alpha2.prop"
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.38.BUSTED.json",7.93078695767508,0,4.95114028736294,1.00621232904473,0.0719700508898945,2.17603712826531e-14,1.10198812105162,0.018960574560595,1,16281.9680940325,16088.3542241094,1.56135359663056,10.1799132472424,1000,5,0.575754609959731,0.730249292185385,0.589546771371233,0,0.638207686612262,0.713452063695219,0.338483177738873,0.999999999999978,8.63632714168994,0.0352347178059096,0.0647032243203588,0.326775197577796,1.73869473802695,0.637990084616294
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.39.BUSTED.json",18.0490459653629,0,6.41558176010392,1.04349231369336,0.0708676624178452,0,1.09583813692501,0.000120420234012264,1,16653.380101477,16439.7230998512,1.75337821297955,7.82592626636429,1000,5,0.539490242106397,0.646062622905714,0.564967092791419,1,0.582448663197383,0.658119126328117,0.364165244790736,0,3.09339562822697,0.0919301910291174,0,0.269582158322548,0.713280828013512,0.638487650648334
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.3.BUSTED.json",1.09613730370984,0,1.21917261758009,1.00213059980193,0.460397158515817,0,0.894759826439979,0.578065178039588,1,16322.1872163505,16143.8356808943,1.43852033894649,5.32172847760733,1000,5,1,0.729436174718979,0.257822181930442,1,1.6312970254926e-13,0.73541298452707,0.281780659553741,0,2.89212990833109,0.0938076087205009,0,0.273080617028031,0.930256934383451,0.633111774251468
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.40.BUSTED.json",1.90307007952651,0,1.72814340872292,1.04170127201043,0.314778065014876,0,0.995884610869114,0.386147815988494,1,16161.6815320685,15983.8112158053,1.42172110572035,5.91699666747164,1000,5,0.681868868604902,0.670558715586207,0.23842412356203,0,0.193267949545098,0.674827662218501,0.446797811423094,1,2.85172167964466,0.0948368393699199,0,0.27169139233101,0.771866456736546,0.63347176829907
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.41.BUSTED.json",2.51639891469677,0,1.4413199324244,1.00835618653843,0.357346599346973,0,1.09769634502269,0.284165217708297,1,15941.2796604829,15756.0250155459,1.37699099129719,8.6598482310161,1000,5,1,0.631733389552037,0.23024356896218,1,0.0487122373370152,0.709990488946667,0.412409831690847,0,4.24253927790494,0.0426580614308002,0,0.309534776735529,0.905405088952986,0.647807161833671
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.42.BUSTED.json",1.27136017921839,0,1.58383142655927,1.00040016006403,0.405336153182794,1.89848137210902e-14,0.797117898992247,0.52957520719957,1,16195.1253786093,16036.8291926062,1.38852459180016,1.74857901947582,1000,5,1,0.762552355659021,0.00109479448186857,0,0.370753076218268,0.758535611204422,0.593569052335337,0.999999999999981,0.83833260849688,0.620602676514254,0,0.282481968046112,2.06095821307036,0.0969153554396338
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.43.BUSTED.json",0.54191336205804,0,1.17074388742946,1.02329578687982,0.340348345488725,1.4432899320127e-15,1.02698602159806,0.762649532870154,1,15877.572272613,15660.5917937988,1.41479620074657,5.33566815517363,1000,5,1,0.551837607328946,0.255644050012394,0,0,0.547318248206873,0.404007604498881,0.999999999999999,4.70354670142615,0.143599625093314,0,0.288511707132404,1.31662153610015,0.567888667774283
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.44.BUSTED.json",5.66865305864667,0,1.4913295462339,2.08189784627134,0.446047333824863,0,1.10771967403134,0.0587580843615103,1,16037.8708592962,15855.985683527,1.44237506505937,7.280692699365,1000,5,0.339967757112778,0.542395236128492,0.155786178004098,1,0,0.810049243992088,0.398166488171039,0,3.36061924495817,0.079053328484739,0,0.297759282600978,0.791972412098339,0.623187388914283
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.45.BUSTED.json",5.62039769781768,0,3.38185069140219,1.00835618653845,0.110299835848374,0,1.01118610504748,0.0601930218886587,1,15818.7916782217,15669.2446440785,1.50319912109939,6.13817805534129,1000,5,0.399160353183462,0.556299926815937,0.567952700704917,1,0.464165263471729,0.576085067521428,0.321747463446709,0,2.4702301514665,0.103556557894072,0,0.231163755197531,0.603903474092188,0.665279686908397
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.46.BUSTED.json",2.95930617089107,0,3.88346307530259,1.00269606756189,0.0478179254469977,1.22124532708767e-15,0.862890873618064,0.227716672870568,1,16297.4642114154,16135.2011789151,1.50260880107341,5.88703482968535,1000,5,0.594910328489309,0.659672463884336,0.630391729483315,0,0.625547205585423,0.65642093504226,0.321790345069687,0.999999999999999,7.32626582537901,0.0699912987580092,0,0.260364118602676,2.26869270370798,0.669644582639315
"1000_Codons/O3_2_25_A3_0001/1000_Codons_O3_2_25_A3_0001_sim_replicate.47.BUSTED.json",1.88001942122355,0,1.37391238149942,1.04349230751419,0.35274140068109,0,0.869890048573589,0.390624042110008,1,16128.4777324641,15984.053387156,1.41748330227811,4.57447503058014,1000,5,0,0.650650909063503,0.351186602942461,1,0.921589006607609,0.700037265090182,0.29607199637645,0,3.36675408711173,0.125769938246264,0,0.25499765503178,1.13019235906285,0.619232406721956
